Industry,Company_Size,Website_Quality,LinkedIn_Activity,Email_Available,Location,Estimated_Revenue,Number_of_Employees,Previous_Response,Meeting_Status,Lead_Quality
Marketing,Small,Average,High,No,Faisalabad,7200000.0,148,Neutral,Completed,Medium
Healthcare,Small,Excellent,High,No,Faisalabad,2462000.0,197,No Response,Not Contacted,Low
Healthcare,Large,Excellent,Medium,Yes,Peshawar,5429000.0,283,Positive,Not Scheduled,High
Retail,Small,Good,Medium,Yes,Lahore,519000.0,162,No Response,Scheduled,Medium
Manufacturing,Medium,Average,,Yes,Lahore,1520000.0,79,No Response,Completed,High
Healthcare,Medium,Average,Medium,Yes,Quetta,10147000.0,49,Neutral,Not Scheduled,Medium
Education,Small,Poor,Medium,No,Peshawar,1739000.0,113,No Response,Not Contacted,Low
Technology,Small,Excellent,Medium,Yes,Islamabad,1300000.0,98,Positive,Completed,High
Manufacturing,Small,Good,High,Yes,Rawalpindi,441000.0,43,Positive,Not Scheduled,High
Manufacturing,Small,Excellent,High,No,Islamabad,866000.0,163,No Response,Completed,Medium
Technology,Small,Average,Medium,Yes,Quetta,398000.0,246,No Response,Completed,Medium
Healthcare,Medium,Good,Medium,No,Rawalpindi,5929000.0,168,Positive,Scheduled,High
Manufacturing,Large,Excellent,High,No,Quetta,5167000.0,11,Positive,Not Scheduled,High
Real Estate,Large,Good,Medium,Yes,Peshawar,4741000.0,115,No Response,Not Scheduled,Medium
Healthcare,Medium,Good,Medium,Yes,Lahore,4447000.0,17,Neutral,Scheduled,Medium
Retail,Medium,Good,High,Yes,Peshawar,1673000.0,374,Neutral,Scheduled,High
Retail,Small,Poor,Medium,Yes,Quetta,992000.0,556,Positive,Not Scheduled,Medium
Manufacturing,Large,Poor,High,No,Quetta,2550000.0,420,Negative,Scheduled,Low
Retail,Medium,Poor,Medium,Yes,Lahore,1994000.0,148,Positive,Scheduled,High
Education,Small,Good,High,Yes,Peshawar,4641000.0,128,Negative,Completed,High
Manufacturing,Medium,Average,Low,Yes,Lahore,4033000.0,174,Positive,Scheduled,Medium
Retail,Small,Average,Medium,Yes,Lahore,1852000.0,173,Neutral,Scheduled,Medium
Healthcare,Medium,Good,Low,Yes,Lahore,2524000.0,128,Positive,Not Contacted,Medium
Marketing,Small,Good,High,Yes,Rawalpindi,521000.0,271,Positive,Scheduled,High
Education,Large,Excellent,Medium,Yes,Rawalpindi,1281000.0,122,No Response,Scheduled,High
Education,Small,Excellent,,Yes,Peshawar,711000.0,562,Positive,Completed,High
Manufacturing,Small,Average,,Yes,Quetta,1216000.0,183,No Response,Completed,Medium
Finance,Medium,Average,Medium,Yes,Peshawar,786000.0,60,No Response,Not Contacted,Low
Healthcare,Large,Good,Medium,Yes,Multan,1368000.0,33,No Response,Not Contacted,Medium
Marketing,Small,Good,Medium,Yes,Quetta,232000.0,246,No Response,Completed,Medium
Real Estate,Large,Good,Low,Yes,Rawalpindi,9266000.0,41,Neutral,Scheduled,High
Real Estate,Small,Average,Medium,No,Faisalabad,1405000.0,220,Positive,Not Scheduled,Low
Healthcare,Medium,Average,Medium,Yes,Faisalabad,1785000.0,22,Neutral,Scheduled,Medium
Technology,Small,Good,High,Yes,Multan,2474000.0,155,No Response,Not Contacted,Low
Manufacturing,Small,Good,Medium,Yes,Multan,2858000.0,93,Negative,Not Contacted,Low
Technology,Medium,Good,Medium,Yes,Rawalpindi,2985000.0,34,Neutral,Scheduled,Medium
Technology,Medium,Good,High,Yes,Islamabad,217000.0,175,Positive,Not Scheduled,High
Education,Medium,Good,Medium,Yes,Quetta,1608000.0,147,,Not Contacted,Medium
Finance,Medium,Good,Low,Yes,Peshawar,694000.0,29,Neutral,Not Scheduled,Low
Manufacturing,Large,Good,Medium,Yes,Faisalabad,707000.0,16,Neutral,Completed,High
Marketing,Small,Good,Medium,Yes,Lahore,612000.0,97,No Response,Not Scheduled,Low
Retail,Small,Average,Medium,Yes,Faisalabad,2502000.0,254,Neutral,Completed,High
Technology,Medium,Average,High,Yes,Peshawar,636000.0,52,No Response,Scheduled,Medium
Marketing,Small,Good,Medium,No,Islamabad,1268000.0,115,Neutral,Completed,Medium
Technology,Small,Excellent,Low,Yes,Lahore,17824000.0,112,Positive,Scheduled,High
Healthcare,Large,Average,High,No,Rawalpindi,13568000.0,146,Positive,Not Scheduled,High
Manufacturing,Large,Good,Medium,Yes,Islamabad,257000.0,48,Positive,Completed,High
Retail,Large,Good,Medium,Yes,Rawalpindi,641000.0,242,,Not Contacted,High
Technology,Small,Average,Medium,Yes,Quetta,2472000.0,183,Positive,Scheduled,High
Real Estate,Small,Good,Medium,Yes,Peshawar,671000.0,114,Positive,Not Scheduled,High
Healthcare,Large,Poor,High,Yes,Rawalpindi,3882000.0,71,No Response,Scheduled,Medium
Finance,Small,,Low,No,Rawalpindi,2230000.0,309,Neutral,Not Scheduled,Low
Healthcare,Small,Average,Medium,Yes,Peshawar,340000.0,185,Negative,Completed,Low
Manufacturing,Small,Excellent,Medium,Yes,Multan,,169,Negative,Not Contacted,Low
Technology,Small,Good,High,No,Quetta,567000.0,142,Positive,Scheduled,High
Technology,Large,Excellent,High,Yes,Quetta,650000.0,284,Positive,Not Contacted,High
Technology,Small,Average,High,Yes,Quetta,1976000.0,87,Negative,Scheduled,Medium
Real Estate,Small,Good,Medium,Yes,Multan,1702000.0,117,Negative,Scheduled,Low
Marketing,Small,Excellent,Low,Yes,Lahore,1145000.0,111,Positive,Completed,High
Technology,Medium,Excellent,High,Yes,Lahore,722000.0,250,Positive,Scheduled,High
Marketing,Large,Excellent,Medium,Yes,Quetta,1098000.0,32,No Response,Not Scheduled,Medium
Technology,Medium,Average,High,Yes,Faisalabad,7974000.0,519,,Scheduled,High
Real Estate,Medium,Good,,Yes,Multan,1598000.0,65,Positive,Not Scheduled,Medium
Finance,Large,Excellent,Medium,Yes,Lahore,2019000.0,26,Neutral,Not Scheduled,High
Finance,Large,Good,High,Yes,Multan,665000.0,183,Negative,Scheduled,High
Manufacturing,Small,Good,High,No,Islamabad,5065000.0,142,Positive,Not Contacted,Medium
Technology,Large,Excellent,Medium,No,Peshawar,1014000.0,98,Neutral,Not Contacted,Low
Marketing,Small,Excellent,Medium,Yes,Faisalabad,1250000.0,449,No Response,Scheduled,Medium
Retail,Small,Poor,High,Yes,Multan,1452000.0,373,Positive,Not Scheduled,Medium
Technology,Medium,Good,High,No,Peshawar,3646000.0,93,Positive,Not Contacted,Medium
Technology,Small,Good,Low,Yes,Multan,979000.0,65,Positive,Scheduled,Medium
Retail,Medium,Average,Medium,Yes,Quetta,957000.0,274,Positive,Not Scheduled,Medium
Technology,Large,Good,Medium,Yes,Rawalpindi,2260000.0,106,Negative,Not Contacted,Low
Manufacturing,Large,Excellent,High,Yes,Karachi,,9,No Response,Scheduled,High
Retail,Large,Poor,Low,Yes,Lahore,1469000.0,122,Positive,Not Scheduled,Medium
Marketing,Medium,Good,Medium,Yes,Peshawar,410000.0,34,Neutral,Completed,Medium
Technology,Medium,Good,Medium,No,Multan,682000.0,108,Neutral,Completed,Medium
Finance,Small,Excellent,Medium,No,Faisalabad,4408000.0,374,Neutral,Scheduled,Medium
Healthcare,Large,Good,Low,No,Karachi,570000.0,146,No Response,Scheduled,Low
Manufacturing,Small,Average,Medium,Yes,Rawalpindi,490000.0,152,Positive,Completed,High
Real Estate,Small,Average,Low,No,Rawalpindi,3629000.0,124,Neutral,Not Scheduled,Low
Real Estate,Small,Average,Medium,Yes,Multan,1323000.0,37,Positive,Completed,High
Finance,Large,Poor,Low,Yes,Islamabad,9341000.0,63,No Response,Completed,Medium
Technology,Medium,Average,Medium,Yes,Faisalabad,6450000.0,84,Positive,Completed,High
Manufacturing,Small,Good,Medium,Yes,Rawalpindi,437000.0,45,Negative,Completed,Medium
Marketing,Small,Average,Medium,Yes,Quetta,616000.0,76,Neutral,Not Scheduled,Low
Technology,Medium,Average,Medium,Yes,Karachi,1662000.0,31,Positive,Scheduled,High
Real Estate,Large,Good,Medium,No,Quetta,5743000.0,67,Neutral,Completed,High
Technology,Medium,Excellent,Medium,Yes,Rawalpindi,3533000.0,14,No Response,Scheduled,Medium
Education,Small,Average,Medium,Yes,Multan,3793000.0,866,Neutral,Not Contacted,Medium
Retail,Small,Good,Medium,Yes,Multan,1721000.0,41,Positive,Scheduled,High
Technology,Medium,Average,Medium,No,Peshawar,770000.0,541,Positive,Not Scheduled,Medium
Technology,Small,Excellent,High,No,Quetta,428000.0,115,Positive,Not Scheduled,Medium
Healthcare,Small,Average,Low,Yes,Islamabad,1412000.0,65,Positive,Scheduled,Medium
Healthcare,Small,Good,Low,Yes,Rawalpindi,1826000.0,445,No Response,Not Contacted,Low
Manufacturing,Medium,Poor,High,Yes,Islamabad,,77,Neutral,Scheduled,Medium
Finance,Large,Good,High,Yes,Rawalpindi,10284000.0,47,Negative,Not Contacted,Medium
Retail,Medium,Average,Medium,Yes,Multan,9123000.0,13,Positive,Not Contacted,Medium
Healthcare,Medium,Good,High,No,Lahore,1003000.0,33,No Response,Scheduled,Low
Marketing,Medium,Good,Medium,Yes,Faisalabad,769000.0,51,Negative,Not Scheduled,Low
Finance,Medium,Good,High,Yes,Peshawar,1275000.0,114,Negative,Completed,High
Manufacturing,Small,Good,Low,Yes,Faisalabad,1599000.0,278,Positive,Scheduled,Medium
Manufacturing,Small,Good,Low,Yes,Quetta,2563000.0,95,Positive,Scheduled,High
Education,Small,Excellent,Low,Yes,Peshawar,1234000.0,25,Neutral,Scheduled,Medium
Manufacturing,Medium,Average,Low,No,Quetta,5208000.0,49,Negative,Not Contacted,Low
Manufacturing,Small,Excellent,Medium,Yes,Faisalabad,12148000.0,76,Neutral,Completed,High
Finance,Large,Average,Low,Yes,Lahore,1207000.0,65,Neutral,Not Scheduled,Low
Marketing,Small,Poor,Low,Yes,Quetta,5645000.0,56,No Response,Completed,Low
Education,Small,Poor,Medium,Yes,Rawalpindi,1710000.0,760,Positive,Completed,High
Education,Small,,Medium,No,Peshawar,3616000.0,331,Positive,Scheduled,High
Real Estate,Small,Excellent,High,Yes,Multan,4519000.0,21,No Response,Not Contacted,Medium
Healthcare,Medium,Excellent,High,No,Lahore,627000.0,86,No Response,Scheduled,Medium
Retail,Large,Good,High,Yes,Rawalpindi,781000.0,121,Positive,Not Scheduled,High
Technology,Small,Excellent,Medium,Yes,Quetta,351000.0,110,Negative,Not Contacted,Low
Real Estate,Small,Average,High,Yes,Lahore,10404000.0,107,Positive,Completed,High
Real Estate,Small,Poor,Low,Yes,Faisalabad,917000.0,163,Positive,Completed,Medium
Finance,Large,Average,Medium,Yes,Quetta,683000.0,200,No Response,Not Scheduled,Medium
Healthcare,Small,Excellent,High,No,Islamabad,3039000.0,670,Positive,Not Scheduled,Medium
Retail,Medium,Average,Low,Yes,Karachi,,486,Positive,Completed,High
Manufacturing,Small,Poor,Medium,Yes,Faisalabad,19504000.0,294,No Response,Completed,Low
Technology,Medium,Poor,Low,Yes,Multan,1930000.0,107,Neutral,Not Scheduled,Low
Finance,Medium,Average,Medium,Yes,Faisalabad,2032000.0,93,Negative,Completed,Medium
Finance,Large,Average,High,Yes,Faisalabad,1281000.0,176,No Response,Scheduled,High
Technology,Small,Good,Medium,Yes,Karachi,426000.0,111,Neutral,Scheduled,Medium
Finance,Medium,Good,Low,No,Lahore,2902000.0,13,No Response,Not Contacted,Low
Healthcare,Small,Excellent,Medium,Yes,Peshawar,3571000.0,20,Positive,Not Scheduled,High
Technology,Small,Average,Medium,Yes,Peshawar,298000.0,75,No Response,Not Scheduled,Low
Education,Medium,Average,Low,Yes,Rawalpindi,2100000.0,90,No Response,Scheduled,Low
Marketing,Large,Good,High,No,Peshawar,1077000.0,174,Negative,Not Contacted,Medium
Marketing,Small,Poor,Low,Yes,Peshawar,562000.0,275,No Response,Completed,Medium
Manufacturing,Small,Good,Medium,Yes,Rawalpindi,2291000.0,26,Neutral,Not Scheduled,Low
Technology,Small,Good,High,Yes,Karachi,930000.0,223,Positive,Not Scheduled,High
Finance,Medium,Good,High,Yes,Multan,1374000.0,265,Positive,Not Contacted,High
Retail,Medium,Good,High,Yes,Multan,1521000.0,99,Negative,Scheduled,Medium
Technology,Small,Poor,High,Yes,Faisalabad,377000.0,219,Positive,Not Contacted,Medium
Retail,Small,Good,Medium,No,Islamabad,5084000.0,97,Neutral,Not Contacted,Low
Technology,Small,Excellent,High,No,Quetta,2156000.0,109,Positive,Not Contacted,Medium
Retail,Large,Average,Medium,No,Lahore,242000.0,110,Positive,Scheduled,High
Education,Small,Good,Medium,No,Multan,1796000.0,65,Negative,Scheduled,Low
Finance,Medium,,Medium,No,Faisalabad,578000.0,232,Negative,Not Scheduled,Low
Retail,Medium,Average,Medium,Yes,Peshawar,693000.0,34,Positive,Not Scheduled,Low
Finance,Small,Average,High,Yes,Lahore,682000.0,57,Negative,Scheduled,Medium
Education,Large,Average,Medium,No,Karachi,2416000.0,180,Positive,Not Scheduled,Low
Retail,Large,Good,Low,Yes,Multan,280000.0,50,Positive,Not Scheduled,Medium
Real Estate,Medium,Good,Low,Yes,Karachi,2100000.0,39,No Response,Not Scheduled,Low
Technology,Small,Poor,High,Yes,Peshawar,2817000.0,127,No Response,Not Scheduled,Low
Finance,Small,Average,Low,Yes,Peshawar,1057000.0,75,Positive,Completed,Medium
Retail,Medium,Excellent,Medium,Yes,Rawalpindi,5874000.0,312,Positive,Scheduled,High
Education,Small,Poor,Medium,Yes,Islamabad,1654000.0,636,Negative,Scheduled,Low
Manufacturing,Large,Average,Medium,No,Rawalpindi,698000.0,33,No Response,Completed,Medium
Finance,Small,Excellent,High,Yes,Faisalabad,1783000.0,197,No Response,Scheduled,High
Finance,Medium,Excellent,Low,No,Lahore,4582000.0,19,Negative,Completed,Medium
Technology,Small,Excellent,Medium,Yes,Lahore,223000.0,173,Negative,Scheduled,Medium
Finance,Small,Excellent,Low,Yes,Islamabad,577000.0,57,No Response,Not Contacted,Low
Real Estate,Small,Average,,Yes,Lahore,,82,Neutral,Completed,Low
Technology,Small,Poor,Medium,No,Quetta,2338000.0,56,No Response,Scheduled,Low
Education,Small,Average,Medium,Yes,Rawalpindi,584000.0,269,No Response,Not Scheduled,Low
Real Estate,Large,Poor,Medium,Yes,Quetta,2173000.0,22,No Response,Completed,Medium
Healthcare,Large,Good,Low,Yes,Rawalpindi,1219000.0,27,Negative,Completed,High
Real Estate,Small,Good,Medium,No,Quetta,609000.0,165,No Response,Not Scheduled,Low
Manufacturing,Large,Poor,High,No,Lahore,1270000.0,115,Neutral,Not Contacted,Low
Retail,Small,Excellent,Medium,Yes,Islamabad,6711000.0,285,Positive,Not Contacted,High
Technology,Small,Excellent,,Yes,Peshawar,1607000.0,98,Positive,Completed,High
Healthcare,Medium,Excellent,Medium,Yes,Islamabad,2053000.0,138,Neutral,Not Scheduled,Medium
Healthcare,Medium,Good,High,Yes,Multan,2643000.0,368,Neutral,Not Scheduled,Medium
Technology,Small,Good,,No,Quetta,1519000.0,27,Positive,Completed,Medium
Technology,Small,Good,Medium,Yes,Rawalpindi,1003000.0,76,Positive,Completed,High
Technology,Small,Good,Medium,Yes,Peshawar,1504000.0,156,Positive,Not Contacted,Medium
Healthcare,Medium,Good,Medium,Yes,Karachi,474000.0,171,Neutral,Completed,Medium
Technology,Large,Excellent,Medium,Yes,Multan,1400000.0,60,Positive,Scheduled,High
Retail,Small,Average,High,No,Islamabad,1954000.0,20,Negative,Not Scheduled,Low
Healthcare,Medium,Poor,High,Yes,Lahore,2430000.0,91,Neutral,Completed,High
Finance,Medium,Average,Low,Yes,Faisalabad,845000.0,73,Neutral,Not Contacted,Low
Healthcare,Small,Average,Low,Yes,Multan,3091000.0,365,Negative,Completed,Low
Healthcare,Small,Good,Medium,No,Peshawar,2802000.0,111,Neutral,Completed,Medium
Manufacturing,Medium,Excellent,High,Yes,Peshawar,817000.0,144,Negative,Not Scheduled,Medium
Marketing,Large,Excellent,High,Yes,Lahore,820000.0,107,Positive,Not Contacted,High
Technology,Small,Poor,High,No,Multan,1493000.0,61,Positive,Completed,Medium
Healthcare,Medium,Good,Medium,Yes,Quetta,1174000.0,245,Positive,Scheduled,High
Real Estate,Medium,Excellent,Low,Yes,Lahore,3572000.0,25,Neutral,Scheduled,Medium
Technology,Small,Poor,Low,No,Peshawar,732000.0,43,No Response,Scheduled,Low
Manufacturing,Medium,Excellent,Medium,Yes,Peshawar,1736000.0,24,Negative,Not Scheduled,Medium
Real Estate,Medium,Average,High,Yes,Multan,1290000.0,194,No Response,Not Scheduled,Low
Technology,Medium,Good,Medium,Yes,Faisalabad,3196000.0,107,Negative,Scheduled,Medium
Education,Large,Good,Low,Yes,Islamabad,330000.0,25,Neutral,Not Scheduled,Low
Technology,Medium,Good,High,Yes,Peshawar,1555000.0,52,,Not Scheduled,Medium
Healthcare,Medium,Poor,Medium,Yes,Islamabad,476000.0,145,No Response,Scheduled,Low
Real Estate,Medium,Good,Medium,Yes,Lahore,,245,Negative,Scheduled,Medium
Finance,Small,Good,Medium,Yes,Quetta,877000.0,193,Neutral,Scheduled,Medium
Manufacturing,Medium,,High,Yes,Lahore,7089000.0,29,Negative,Not Scheduled,Medium
Education,Small,Good,Low,Yes,Karachi,,70,Neutral,Not Scheduled,Low
Finance,Large,Average,Low,Yes,Faisalabad,3437000.0,72,Positive,Scheduled,High
Technology,Small,Good,Medium,Yes,Faisalabad,1213000.0,90,No Response,Completed,Medium
Retail,Small,Good,Low,No,Lahore,8984000.0,33,Negative,Not Scheduled,Low
Marketing,Small,Average,Medium,Yes,Islamabad,2088000.0,93,Neutral,Not Contacted,Low
Retail,Small,Excellent,,Yes,Multan,842000.0,314,Positive,Not Contacted,Medium
Real Estate,Medium,Good,High,Yes,Multan,424000.0,136,Positive,Scheduled,High
Healthcare,Medium,Good,Medium,Yes,Peshawar,517000.0,270,No Response,Not Contacted,Low
Finance,Small,Excellent,Low,Yes,Islamabad,2384000.0,418,Positive,Not Contacted,Medium
Retail,Medium,Average,Medium,Yes,Peshawar,2088000.0,51,,Completed,High
Real Estate,Medium,Average,Low,Yes,Multan,3924000.0,35,Neutral,Not Scheduled,Low
Finance,Medium,Average,Medium,Yes,Lahore,223000.0,227,Positive,Not Scheduled,Medium
Retail,Small,Good,High,Yes,Peshawar,2421000.0,146,Neutral,Completed,High
Education,Large,Average,High,Yes,Quetta,2307000.0,71,Neutral,Not Contacted,Medium
Real Estate,Medium,Poor,Medium,No,Karachi,1360000.0,225,Negative,Scheduled,Low
Manufacturing,Small,Good,Low,Yes,Rawalpindi,581000.0,153,Positive,Completed,High
Retail,Medium,Average,Low,Yes,Rawalpindi,511000.0,196,Positive,Scheduled,High
Retail,Medium,Average,Medium,Yes,Faisalabad,943000.0,69,Positive,Not Scheduled,Medium
Retail,Small,Good,High,Yes,Lahore,1082000.0,65,Positive,Completed,High
Finance,Medium,Good,Low,Yes,Karachi,574000.0,178,Positive,Scheduled,High
Manufacturing,Large,Average,Medium,Yes,Islamabad,2598000.0,256,No Response,Completed,High
Technology,Medium,Good,Medium,Yes,Karachi,4020000.0,75,No Response,Not Contacted,Low
Education,Small,Poor,Medium,Yes,Faisalabad,730000.0,163,No Response,Not Contacted,Low
Finance,Medium,Good,Medium,Yes,Rawalpindi,1575000.0,150,Positive,Not Scheduled,Medium
Technology,Medium,Good,High,Yes,Multan,11060000.0,101,No Response,Scheduled,High
Retail,Large,Good,Medium,No,Quetta,181000.0,101,Positive,Not Scheduled,Medium
Real Estate,Medium,Good,Low,Yes,Rawalpindi,1308000.0,114,Neutral,Not Scheduled,Low
Education,Large,Excellent,Low,Yes,Peshawar,150000.0,110,Positive,Scheduled,High
Manufacturing,Large,Average,Medium,Yes,Lahore,2575000.0,69,Positive,Not Scheduled,High
Technology,Medium,Good,Medium,Yes,Faisalabad,815000.0,339,Positive,Not Contacted,High
Real Estate,Large,Average,Low,Yes,Karachi,2440000.0,25,Negative,Not Contacted,Low
Technology,Small,Good,Medium,No,Islamabad,8746000.0,168,Negative,Scheduled,Low
Retail,Medium,Good,Medium,No,Peshawar,1609000.0,43,Negative,Scheduled,Low
Manufacturing,Small,Excellent,Medium,Yes,Faisalabad,624000.0,33,No Response,Not Scheduled,Low
Finance,Small,Good,Medium,Yes,Karachi,1425000.0,10,Positive,Not Scheduled,Medium
Manufacturing,Small,Good,Low,Yes,Karachi,1263000.0,69,Negative,Not Scheduled,Low
Technology,Small,Average,High,Yes,Quetta,530000.0,37,Positive,Completed,High
Marketing,Medium,Average,Medium,Yes,Islamabad,395000.0,37,Neutral,Scheduled,Medium
Technology,Small,Good,Medium,Yes,Multan,811000.0,38,Positive,Completed,High
Finance,Small,Good,Medium,Yes,Rawalpindi,909000.0,109,Neutral,Not Contacted,Low
Education,Small,Excellent,High,Yes,Multan,4665000.0,36,Neutral,Scheduled,High
Manufacturing,Large,Good,Medium,No,Rawalpindi,2062000.0,432,No Response,Scheduled,Medium
Technology,Small,Average,Medium,Yes,Faisalabad,4957000.0,168,No Response,Not Contacted,Low
Manufacturing,Medium,Average,Low,No,Quetta,562000.0,32,Positive,Not Scheduled,Low
Finance,Large,Excellent,Low,Yes,Karachi,1579000.0,187,Neutral,Not Scheduled,Medium
Real Estate,Small,Average,Medium,Yes,Rawalpindi,300000.0,404,No Response,Scheduled,Low
Technology,Medium,Good,High,Yes,Faisalabad,2971000.0,723,Positive,Completed,High
Technology,Medium,Good,Low,Yes,Lahore,1426000.0,47,Positive,Not Scheduled,Medium
Technology,Small,Average,Medium,Yes,Karachi,237000.0,55,Positive,Scheduled,High
Healthcare,Small,Good,Medium,Yes,Lahore,5560000.0,54,No Response,Scheduled,Medium
Manufacturing,Large,Average,Medium,Yes,Karachi,2135000.0,121,Negative,Not Scheduled,Medium
Retail,Medium,Good,Low,Yes,Quetta,2054000.0,75,Positive,Completed,High
Manufacturing,Medium,Good,High,Yes,Rawalpindi,2211000.0,17,Positive,Scheduled,High
Finance,Large,Excellent,Medium,Yes,Rawalpindi,1339000.0,67,Positive,Not Scheduled,High
Real Estate,Medium,Average,Medium,Yes,Quetta,2960000.0,196,Neutral,Not Scheduled,Medium
Manufacturing,Small,Excellent,Medium,No,Peshawar,1713000.0,276,Positive,Not Scheduled,High
Retail,Small,Poor,Low,Yes,Lahore,1377000.0,86,No Response,Completed,Low
Technology,Small,,Low,Yes,Islamabad,3188000.0,164,Neutral,Scheduled,Medium
Manufacturing,Medium,Good,Medium,Yes,Peshawar,716000.0,264,Positive,Not Scheduled,High
Technology,Medium,Average,Low,Yes,Lahore,811000.0,174,No Response,Completed,Medium
Education,Small,Excellent,Low,Yes,Faisalabad,2984000.0,53,No Response,Scheduled,Medium
Finance,Small,Good,Medium,No,Islamabad,1749000.0,24,Positive,Scheduled,Medium
Marketing,Medium,Good,,Yes,Islamabad,509000.0,87,No Response,Not Contacted,Low
Technology,Medium,Good,High,Yes,Peshawar,,354,Positive,Not Scheduled,High
Manufacturing,Small,Good,Medium,Yes,Rawalpindi,3775000.0,19,Negative,Not Scheduled,Low
Manufacturing,Small,Average,Medium,Yes,Peshawar,465000.0,298,Positive,Not Scheduled,Medium
Technology,Large,Good,Low,Yes,Quetta,591000.0,202,No Response,Scheduled,Medium
Marketing,Small,Good,High,Yes,Islamabad,3229000.0,108,Positive,Scheduled,High
Technology,Small,Poor,High,Yes,Multan,6718000.0,87,Negative,Not Scheduled,Low
Finance,Large,,Low,Yes,Lahore,746000.0,72,No Response,Not Scheduled,Low
Healthcare,Large,Excellent,Medium,No,Rawalpindi,,59,Positive,Not Scheduled,High
Technology,Medium,Excellent,Medium,No,Karachi,825000.0,51,Negative,Not Scheduled,Low
Finance,Small,Excellent,Low,No,Karachi,619000.0,126,Positive,Not Contacted,Medium
Finance,Small,Good,High,Yes,Lahore,287000.0,128,Positive,Completed,High
Retail,Small,Excellent,Low,No,Karachi,2591000.0,117,Neutral,Not Scheduled,Low
Technology,Small,Average,High,Yes,Islamabad,2308000.0,243,Positive,Not Scheduled,High
Manufacturing,Small,Average,,Yes,Peshawar,2864000.0,74,Positive,Not Contacted,Medium
Manufacturing,Small,Excellent,High,Yes,Multan,3389000.0,35,Negative,Not Scheduled,Medium
Manufacturing,Medium,Poor,Medium,Yes,Multan,208000.0,227,No Response,Completed,Medium
Technology,Large,Poor,High,Yes,Quetta,278000.0,17,Neutral,Not Scheduled,Medium
Education,Medium,Excellent,High,Yes,Quetta,2038000.0,82,Neutral,Scheduled,High
Retail,Small,Excellent,Medium,Yes,Rawalpindi,594000.0,45,No Response,Scheduled,Medium
Marketing,Small,Excellent,Low,Yes,Peshawar,271000.0,151,Positive,Not Scheduled,Medium
Finance,Medium,,Low,Yes,Quetta,3302000.0,162,No Response,Completed,Medium
Technology,Medium,Excellent,Medium,No,Rawalpindi,818000.0,53,Positive,Scheduled,High
Education,Small,Average,Low,No,Multan,248000.0,118,Positive,Scheduled,Low
Finance,Small,Good,Medium,Yes,Peshawar,5987000.0,34,Negative,Not Contacted,Low
Technology,Medium,Excellent,High,Yes,Rawalpindi,1248000.0,52,Positive,Not Scheduled,High
Healthcare,Large,Excellent,Low,Yes,Rawalpindi,2282000.0,34,Positive,Completed,High
Real Estate,Medium,Good,Medium,Yes,Peshawar,288000.0,189,No Response,Scheduled,Medium
Manufacturing,Small,Average,Low,Yes,Islamabad,808000.0,471,Neutral,Not Scheduled,Low
Technology,Small,Good,Low,No,Rawalpindi,2842000.0,225,No Response,Scheduled,Low
Finance,Medium,Good,Low,Yes,Lahore,2201000.0,103,No Response,Scheduled,Medium
Marketing,Medium,Good,Medium,Yes,Multan,1186000.0,46,No Response,Scheduled,Medium
Manufacturing,Large,Good,High,Yes,Faisalabad,1353000.0,108,No Response,Completed,High
Real Estate,Small,Average,Medium,Yes,Faisalabad,4278000.0,18,No Response,Not Scheduled,Low
Retail,Medium,Good,Medium,No,Multan,7715000.0,22,Neutral,Not Scheduled,Low
Finance,Small,Poor,High,Yes,Rawalpindi,4522000.0,400,Positive,Completed,High
Technology,Small,Average,Low,Yes,Peshawar,820000.0,15,Positive,Scheduled,Medium
Education,Large,Average,Low,Yes,Islamabad,1685000.0,50,,Completed,Medium
Retail,Small,Excellent,High,Yes,Rawalpindi,1746000.0,82,No Response,Not Contacted,Medium
Manufacturing,Small,Average,High,Yes,Islamabad,3980000.0,32,Negative,Not Scheduled,Low
Technology,Medium,Average,Low,Yes,Lahore,591000.0,81,No Response,Not Scheduled,Low
Education,Small,Excellent,Medium,Yes,Peshawar,735000.0,164,Neutral,Not Contacted,Low
Technology,Small,Excellent,Medium,Yes,Multan,332000.0,453,Neutral,Scheduled,Medium
Technology,Large,Good,Medium,Yes,Peshawar,5172000.0,43,Neutral,Not Scheduled,Medium
Healthcare,Small,Excellent,Medium,Yes,Peshawar,1330000.0,140,Negative,Not Contacted,Low
Real Estate,Small,Good,Low,Yes,Islamabad,3148000.0,62,Positive,Not Contacted,Low
Technology,Large,Excellent,High,Yes,Peshawar,4891000.0,110,No Response,Completed,High
Education,Medium,Good,Medium,Yes,Multan,830000.0,99,Positive,Not Contacted,High
Manufacturing,Medium,Good,Medium,Yes,Rawalpindi,625000.0,91,Positive,Not Scheduled,High
Education,Large,Good,Low,No,Lahore,1819000.0,32,Neutral,Not Scheduled,Low
Finance,Large,Excellent,Low,Yes,Karachi,1579000.0,187,Neutral,Not Scheduled,Medium
Manufacturing,Small,Good,Low,Yes,Peshawar,4053000.0,38,Positive,Completed,High
Marketing,Small,Average,Medium,Yes,Islamabad,1858000.0,163,Negative,Not Scheduled,Low
Education,Small,Average,Medium,Yes,Karachi,2011000.0,238,Positive,Scheduled,High
Finance,Small,Good,Medium,Yes,Quetta,931000.0,37,No Response,Not Scheduled,Low
